POSTCODE,ConfirmedCaseCategory,ConfirmedCaseCount
85003,Greater Than 1000,1534
85004,501-1000,969
85006,Greater Than 1000,3272
85007,Greater Than 1000,2424
85008,Greater Than 1000,9079
85009,Greater Than 1000,8606
85012,Greater Than 1000,1143
85013,Greater Than 1000,2826
85014,Greater Than 1000,3358
85015,Greater Than 1000,5339
85016,Greater Than 1000,4858
85017,Greater Than 1000,5785
85018,Greater Than 1000,4084
85019,Greater Than 1000,4140
85020,Greater Than 1000,3878
85021,Greater Than 1000,5236
85022,Greater Than 1000,4715
85023,Greater Than 1000,3414
85024,Greater Than 1000,2341
85027,Greater Than 1000,4061
85028,Greater Than 1000,1679
85029,Greater Than 1000,5396
85031,Greater Than 1000,5253
85032,Greater Than 1000,7169
85033,Greater Than 1000,9252
85034,Greater Than 1000,1271
85035,Greater Than 1000,8340
85037,Greater Than 1000,8130
85040,Greater Than 1000,4763
85041,Greater Than 1000,9672
85042,Greater Than 1000,6131
85043,Greater Than 1000,5696
85044,Greater Than 1000,3785
85045,501-1000,710
85048,Greater Than 1000,3289
85050,Greater Than 1000,2914
85051,Greater Than 1000,5705
85053,Greater Than 1000,3153
85054,501-1000,753
85083,Greater Than 1000,2476
85085,Greater Than 1000,2674
85086,Greater Than 1000,4025
85087,501-1000,868
85118,Greater Than 1000,1384
85119,Greater Than 1000,2049
85120,Greater Than 1000,3275
85121,0,0
85121 Tribal,Data Suppressed,Data Suppressed
85122,Greater Than 1000,7917
85123,Greater Than 1000,1122
85128,Greater Than 1000,2291
85131,Greater Than 1000,3892
85132,Greater Than 1000,6449
85135,11-100,53
85137,101-500,160
85138,Greater Than 1000,5225
85139,Greater Than 1000,1982
85140,Greater Than 1000,4650
85141,11-100,71
85142,Greater Than 1000,8455
85143,Greater Than 1000,4299
85145,101-500,194
85147,0,0
85147 Tribal,Data Suppressed,Data Suppressed
85172,101-500,268
85173,101-500,311
85190,0,0
85191,11-100,33
85192,101-500,153
85193,101-500,499
85194,501-1000,774
85201,Greater Than 1000,6358
85202,Greater Than 1000,9845
85203,Greater Than 1000,4739
85204,Greater Than 1000,8708
85205,Greater Than 1000,4337
85206,Greater Than 1000,5295
85207,Greater Than 1000,4925
85208,Greater Than 1000,3940
85209,Greater Than 1000,4870
85210,Greater Than 1000,5191
85212,Greater Than 1000,4851
85213,Greater Than 1000,3707
85215,Greater Than 1000,1717
85224,Greater Than 1000,5376
85225,Greater Than 1000,9440
85226,Greater Than 1000,3986
85233,Greater Than 1000,4397
85234,Greater Than 1000,5880
85248,Greater Than 1000,3318
85249,Greater Than 1000,4425
85250,Greater Than 1000,1552
85251,Greater Than 1000,5460
85253,Greater Than 1000,1674
85254,Greater Than 1000,4189
85255,Greater Than 1000,5107
85256,Greater Than 1000,1277
85257,Greater Than 1000,3717
85258,Greater Than 1000,2343
85259,Greater Than 1000,1762
85260,Greater Than 1000,3990
85262,501-1000,879
85263,101-500,145
85264,101-500,156
85266,501-1000,793
85268,Greater Than 1000,1623
