,POSTCODE,percentOver18,CategoryOver18,PercentOver65,CategoryOver65,NumberOfPeopleVaccinated,NumberOfPeopleVaccinatedCategory
0,85003,46.2,26-55,74.49,56-75,4898,"1,001-5,000"
1,85004,63.68,56-75,61.45,56-75,4281,"1,001-5,000"
2,85006,35.85,26-55,54.55,26-55,6780,"5,001-10,000"
3,85007,41.44,26-55,63.91,56-75,4719,"1,001-5,000"
4,85008,33.01,26-55,56.27,56-75,14187,"Greater Than 10,000"
5,85009,23.48,11-25,61.29,56-75,9266,"5,001-10,000"
6,85012,73.89,56-75,74.5,56-75,4909,"1,001-5,000"
7,85013,55.13,56-75,55.32,56-75,10529,"Greater Than 10,000"
8,85014,45.47,26-55,58.68,56-75,10361,"Greater Than 10,000"
9,85015,32.87,26-55,57.57,56-75,10151,"Greater Than 10,000"
10,85016,48.76,26-55,60.66,56-75,16304,"Greater Than 10,000"
11,85017,26.27,26-55,49.93,26-55,7654,"5,001-10,000"
12,85018,55.96,56-75,67.27,56-75,17279,"Greater Than 10,000"
13,85019,28.92,26-55,57.68,56-75,5594,"5,001-10,000"
14,85020,48.6,26-55,65.93,56-75,14540,"Greater Than 10,000"
15,85021,44.61,26-55,75.44,Greater Than 75,14235,"Greater Than 10,000"
16,85022,42.15,26-55,68.34,56-75,17919,"Greater Than 10,000"
17,85023,37.64,26-55,62.64,56-75,10599,"Greater Than 10,000"
18,85024,44.45,26-55,70.68,56-75,9281,"5,001-10,000"
19,85027,35.37,26-55,58.09,56-75,10941,"Greater Than 10,000"
20,85028,60.68,56-75,75.56,Greater Than 75,10624,"Greater Than 10,000"
21,85029,33.03,26-55,56.96,56-75,11604,"Greater Than 10,000"
22,85031,25.77,26-55,54.77,26-55,5841,"5,001-10,000"
23,85032,40.42,26-55,63.92,56-75,22375,"Greater Than 10,000"
24,85033,28.62,26-55,60.84,56-75,10643,"Greater Than 10,000"
25,85034,33.61,26-55,57.7,56-75,2249,"1,001-5,000"
26,85035,25.95,26-55,60.48,56-75,8991,"5,001-10,000"
27,85037,32.98,26-55,68.28,56-75,11724,"Greater Than 10,000"
28,85040,30.33,26-55,57.49,56-75,7117,"5,001-10,000"
29,85041,37.23,26-55,71.42,56-75,16252,"Greater Than 10,000"
30,85042,41.54,26-55,67.32,56-75,13931,"Greater Than 10,000"
31,85043,32.34,26-55,67.05,56-75,7618,"5,001-10,000"
32,85044,52.89,26-55,80.8,Greater Than 75,17744,"Greater Than 10,000"
33,85045,64.67,56-75,104.21,Greater Than 75,5409,"5,001-10,000"
34,85048,54.42,26-55,95.16,Greater Than 75,15055,"Greater Than 10,000"
35,85050,63.43,56-75,95.38,Greater Than 75,15138,"Greater Than 10,000"
36,85051,31.11,26-55,50.44,26-55,10259,"Greater Than 10,000"
37,85053,31.42,26-55,58.64,56-75,7829,"5,001-10,000"
38,85054,59.04,56-75,115.08,Greater Than 75,4134,"1,001-5,000"
39,85083,51.5,26-55,99.95,Greater Than 75,7984,"5,001-10,000"
40,85085,53.25,26-55,105.43,Greater Than 75,10348,"Greater Than 10,000"
