,POSTCODE,Total Population,Total Case Count,% Cases Over Age 18,% Cases Over Age 65,Total Cases Category,Total Vaccinated,Total      Vaccinated Category,Median Household Income
0,85003,8499,1534,46.2,74.49,Greater Than 1000,4898,"1,001-5,000",44140
1,85004,7164,969,63.68,61.45,501-1000,4281,"1,001-5,000",41951
2,85006,27206,3272,35.85,54.55,Greater Than 1000,6780,"5,001-10,000",38121
3,85007,14428,2424,41.44,63.91,Greater Than 1000,4719,"1,001-5,000",34667
4,85008,62340,9079,33.01,56.27,Greater Than 1000,14187,"Greater Than 10,000",43574
5,85009,51711,8606,23.48,61.29,Greater Than 1000,9266,"5,001-10,000",32893
6,85012,7492,1143,73.89,74.5,Greater Than 1000,4909,"1,001-5,000",70228
7,85013,21028,2826,55.13,55.32,Greater Than 1000,10529,"Greater Than 10,000",56402
8,85014,27623,3358,45.47,58.68,Greater Than 1000,10361,"Greater Than 10,000",53551
9,85015,41895,5339,32.87,57.57,Greater Than 1000,10151,"Greater Than 10,000",38019
10,85016,35930,4858,48.76,60.66,Greater Than 1000,16304,"Greater Than 10,000",60085
11,85017,42656,5785,26.27,49.93,Greater Than 1000,7654,"5,001-10,000",35951
12,85018,38473,4084,55.96,67.27,Greater Than 1000,17279,"Greater Than 10,000",66952
13,85019,27813,4140,28.92,57.68,Greater Than 1000,5594,"5,001-10,000",39462
14,85020,35361,3878,48.6,65.93,Greater Than 1000,14540,"Greater Than 10,000",57866
15,85021,43378,5236,44.61,75.44,Greater Than 1000,14235,"Greater Than 10,000",44511
16,85022,51920,4715,42.15,68.34,Greater Than 1000,17919,"Greater Than 10,000",57118
17,85023,34268,3414,37.64,62.64,Greater Than 1000,10599,"Greater Than 10,000",56564
18,85024,24834,2341,44.45,70.68,Greater Than 1000,9281,"5,001-10,000",76711
19,85027,37873,4061,35.37,58.09,Greater Than 1000,10941,"Greater Than 10,000",58877
20,85028,19334,1679,60.68,75.56,Greater Than 1000,10624,"Greater Than 10,000",92357
21,85029,47080,5396,33.03,56.96,Greater Than 1000,11604,"Greater Than 10,000",48547
22,85031,33886,5253,25.77,54.77,Greater Than 1000,5841,"5,001-10,000",40584
23,85032,73203,7169,40.42,63.92,Greater Than 1000,22375,"Greater Than 10,000",57570
24,85033,64832,9252,28.62,60.84,Greater Than 1000,10643,"Greater Than 10,000",42603
25,85034,5045,1271,33.61,57.7,Greater Than 1000,2249,"1,001-5,000",30130
26,85035,59660,8340,25.95,60.48,Greater Than 1000,8991,"5,001-10,000",45528
27,85037,54817,8130,32.98,68.28,Greater Than 1000,11724,"Greater Than 10,000",58694
28,85040,35204,4763,30.33,57.49,Greater Than 1000,7117,"5,001-10,000",41418
29,85041,62152,9672,37.23,71.42,Greater Than 1000,16252,"Greater Than 10,000",54546
30,85042,47957,6131,41.54,67.32,Greater Than 1000,13931,"Greater Than 10,000",60644
31,85043,38704,5696,32.34,67.05,Greater Than 1000,7618,"5,001-10,000",52418
32,85044,41746,3785,52.89,80.8,Greater Than 1000,17744,"Greater Than 10,000",76573
33,85045,7008,710,64.67,104.21,501-1000,5409,"5,001-10,000",141127
34,85048,35765,3289,54.42,95.16,Greater Than 1000,15055,"Greater Than 10,000",104063
35,85050,32039,2914,63.43,95.38,Greater Than 1000,15138,"Greater Than 10,000",94450
36,85051,45313,5705,31.11,50.44,Greater Than 1000,10259,"Greater Than 10,000",43942
37,85053,30608,3153,31.42,58.64,Greater Than 1000,7829,"5,001-10,000",55865
38,85054,7785,753,59.04,115.08,501-1000,4134,"1,001-5,000",86951
39,85083,19923,2476,51.5,99.95,Greater Than 1000,7984,"5,001-10,000",120174
40,85085,23700,2674,53.25,105.43,Greater Than 1000,10348,"Greater Than 10,000",96003
41,85086,42179,4025,44.62,92.26,Greater Than 1000,15060,"Greater Than 10,000",101856
42,85087,7991,868,31.95,60.75,501-1000,2794,"1,001-5,000",72181
43,85118,13091,1384,71.55,102.56,Greater Than 1000,8766,"5,001-10,000",70133
44,85119,24255,2049,42.99,77.01,Greater Than 1000,8329,"5,001-10,000",55579
45,85120,31842,3275,42.02,68.75,Greater Than 1000,11788,"Greater Than 10,000",42993
47,85122,58724,7917,42.56,81.68,Greater Than 1000,18382,"Greater Than 10,000",51665
48,85123,11265,1122,30.53,57.3,Greater Than 1000,2718,"1,001-5,000",40348
49,85128,17053,2291,32.22,59.73,Greater Than 1000,3347,"1,001-5,000",49142
50,85131,20055,3892,26.94,106.08,Greater Than 1000,4369,"1,001-5,000",40063
51,85132,39903,6449,32.76,99.06,Greater Than 1000,11389,"Greater Than 10,000",55348
52,85135,490,53,37,57.41,11-100,205,"11-1,000",36500
53,85137,2535,160,31.96,47.58,101-500,665,"11-1,000",55625
54,85138,38446,5225,41.34,97.27,Greater Than 1000,13355,"Greater Than 10,000",76009
55,85139,17939,1982,34.59,73.08,Greater Than 1000,4606,"1,001-5,000",57438
56,85140,47244,4650,31.45,101.62,Greater Than 1000,11065,"Greater Than 10,000",71969
57,85141,430,71,29.23,112.7,11-100,114,"11-1,000",38846
58,85142,71423,8455,38.08,84.21,Greater Than 1000,21234,"Greater Than 10,000",92012
59,85143,39153,4299,33.96,96.06,Greater Than 1000,10005,"Greater Than 10,000",63897
60,85145,4203,194,31.09,105.41,101-500,691,"11-1,000",73526
62,85172,1991,268,42.83,71.76,101-500,419,"11-1,000",55096
63,85173,3098,311,41.48,67.92,101-500,1049,"1,001-5,000",33246
64,85192,2616,153,24.73,43.73,101-500,477,"11-1,000",54259
65,85193,6142,499,26.27,56.03,101-500,891,"11-1,000",45950
66,85194,7948,774,45.85,78.15,501-1000,3162,"1,001-5,000",58627
67,85201,54110,6358,35.58,61.54,Greater Than 1000,12900,"Greater Than 10,000",41795
68,85202,40364,9845,35.72,66.18,Greater Than 1000,12169,"Greater Than 10,000",51232
69,85203,39797,4739,34.1,60.36,Greater Than 1000,9332,"5,001-10,000",54919
70,85204,67924,8708,31.29,58.9,Greater Than 1000,15439,"Greater Than 10,000",53061
71,85205,43135,4337,45.26,62.55,Greater Than 1000,16655,"Greater Than 10,000",55699
72,85206,37230,5295,53.38,68.36,Greater Than 1000,16758,"Greater Than 10,000",51993
73,85207,49863,4925,46.68,85.84,Greater Than 1000,18703,"Greater Than 10,000",71497
74,85208,37109,3940,38.8,58.01,Greater Than 1000,12042,"Greater Than 10,000",53016
75,85209,41407,4870,50.45,84.17,Greater Than 1000,18240,"Greater Than 10,000",63568
76,85210,41073,5191,31.86,59.41,Greater Than 1000,9913,"5,001-10,000",43572
77,85212,37204,4851,48.95,106.13,Greater Than 1000,15700,"Greater Than 10,000",101788
78,85213,36916,3707,40.28,62.07,Greater Than 1000,11194,"Greater Than 10,000",70452
79,85215,16471,1717,58.39,82.07,Greater Than 1000,8120,"5,001-10,000",73488
