POSTCODE,Median Household Income
85003,44140
85004,41951
85006,38121
85007,34667
85008,43574
85009,32893
85012,70228
85013,56402
85014,53551
85015,38019
85016,60085
85017,35951
85018,66952
85019,39462
85020,57866
85021,44511
85022,57118
85023,56564
85024,76711
85027,58877
85028,92357
85029,48547
85031,40584
85032,57570
85033,42603
85034,30130
85035,45528
85037,58694
85040,41418
85041,54546
85042,60644
85043,52418
85044,76573
85045,141127
85048,104063
85050,94450
85051,43942
85053,55865
85054,86951
85083,120174
85085,96003
85086,101856
85087,72181
85118,70133
85119,55579
85120,42993
85121,13095
85122,51665
85123,40348
85128,49142
85131,40063
85132,55348
85135,36500
85137,55625
85138,76009
85139,57438
85140,71969
85141,38846
85142,92012
85143,63897
85145,73526
85147,17963
85172,55096
85173,33246
85192,54259
85193,45950
85194,58627
85201,41795
85202,51232
85203,54919
85204,53061
85205,55699
85206,51993
85207,71497
85208,53016
85209,63568
85210,43572
85212,101788
85213,70452
85215,73488
85224,73890
85225,62155
85226,85705
85233,88092
85234,85692
85248,76457
85249,114586
85250,80157
85251,64470
85253,163750
85254,94630
85255,133044
85256,36340
85257,62584
85258,86148
85259,112979
85260,86746
85262,122273
85263,103828
85264,64779
85266,145000
85268,85344
85281,38264
85282,59339
85283,65527
85284,122583
85286,106084
85295,97472
85296,96539
85297,105064
85298,112656
85301,33497
85302,47358
85303,58433
85304,66546
85305,76690
85306,65614
85307,58380
85308,78948
85309,-
85310,103578
85320,33229
85321,36000
85322,38063
85323,53717
85324,37410
85325,49375
85326,63060
85328,38824
85331,106401
85332,42370
85333,46103
85334,35469
85335,58216
85336,44271
85337,31090
85338,78397
85339,76170
85340,93374
85341,-
85342,45530
85343,67750
85344,40580
85345,53383
85346,21810
85347,31406
85348,41154
85349,37343
85350,38416
85351,39779
85352,31652
85353,70543
85354,62833
85355,91533
85356,48578
85357,26080
85360,53750
85361,62250
85362,40893
85363,40781
85364,43314
85365,53131
85367,49112
85371,-
85373,54958
85374,58127
85375,54535
85377,77500
85379,80758
85381,77068
85382,72756
85383,114830
85387,71449
85388,80906
85390,50009
85392,68663
85395,90017
85396,89919
85501,46944
85530,30625
85531,76354
85533,49713
85534,49976
85535,-
85536,60694
85539,45206
85540,72934
85541,46401
85542,37552
85543,43895
85544,53456
85545,24034
85546,50865
85550,33051
85551,70662
85552,59650
85553,40373
85554,32375
85601,30977
85602,40154
85603,35268
85605,27011
85606,41429
85607,36218
85608,-
85609,131616
85610,41422
85611,64773
85613,73125
85614,51449
85615,71473
85616,45093
85617,30217
85618,37331
85619,35278
85620,37563
85621,30196
85622,61774
85623,60753
85624,39013
85625,40823
85626,31875
85627,47188
85629,82334
85630,38507
85631,42105
85632,43393
85633,-
85634,26389
85635,51861
85637,63472
85638,39632
85640,-
85641,91317
85643,44850
85645,44951
85646,66316
85648,51365
85650,70625
85653,68507
85654,-
85658,85239
85701,43527
85704,56649
85705,29696
85706,37032
85707,-
85708,57743
85710,44277
85711,41426
85712,37444
85713,36560
85714,29652
85715,67957
85716,41025
85718,89415
85719,34230
85723,-
85724,-
85726,-
85730,53236
85735,48069
85736,48119
85737,86619
85739,68662
85741,60972
85742,78904
85743,76099
85745,54909
85746,51272
85747,90080
85748,80140
85749,92224
85750,83689
85755,91037
85756,52247
85757,57419
85901,50394
85911,14545
85912,16691
85920,59615
85922,-
85923,39926
85924,39409
85925,55780
85926,48750
85927,-
85928,40724
85929,46225
85930,45625
85931,49821
85932,-
85933,38651
85934,35263
85935,60909
85936,48182
85937,44954
85938,58073
85939,44400
85940,58710
85941,31045
85942,-
86001,59536
86003,16406
86004,69500
86011,-
86015,-
86016,-
86017,64761
86018,72569
86020,33958
86021,58804
86022,40303
86023,67521
86024,80781
86025,46679
86028,-
86029,-
86030,37500
86031,18889
86032,64926
86033,25546
86034,17228
86035,41417
86036,48304
86038,-
86039,31705
86040,64066
86042,39716
86043,36181
86044,17885
86045,44209
86046,53797
86047,37880
86052,-
86053,42059
86054,28600
86301,53190
86303,56085
86305,70048
86313,-
86314,50783
86315,58940
86320,38571
86321,62019
86322,43121
86323,52152
86324,49383
86325,61938
86326,46674
86327,55344
86329,65656
86331,52083
86332,38984
86333,38700
86334,41445
86335,40489
86336,60386
86337,34722
86338,57500
86343,-
86351,59836
86401,51711
86403,50981
86404,52669
86406,56203
86409,39756
86411,35938
86413,38292
86426,50535
86429,46853
86431,26141
86432,34511
86433,-
86434,37688
86435,-
86436,28542
86437,-
86438,34213
86440,47437
86441,26591
86442,39600
86443,-
86444,46389
86445,51150
86502,18542
86503,24982
86504,33611
86505,23767
86506,21597
86507,22885
86508,21250
86510,23550
86511,29617
86512,29886
86514,27600
86515,30196
86520,21346
86535,17019
86538,25052
86540,10588
86544,26964
86545,22560
86547,24643
86556,27153
