city ,zipcode,,
Phoenix,85001,,
Phoenix,85002,,
Phoenix,85003,,
Phoenix,85004,,
Phoenix,85005,,
Phoenix,85006,,
Phoenix,85007,,
Phoenix,85008,,
Phoenix,85009,,
Phoenix,85010,,
Phoenix,85011,,
Phoenix,85012,,
Phoenix,85013,,
Phoenix,85014,,
Phoenix,85015,,
Phoenix,85016,,
Phoenix,85017,,
Phoenix,85018,,
Phoenix,85019,,
Phoenix,85025,,
Phoenix,85026,,
Phoenix,85030,,
Phoenix,85031,,
Phoenix,85033,,
Phoenix,85034,,
Phoenix,85035,,
Phoenix,85036,,
Phoenix,85037,,
Phoenix,85038,,
Phoenix,85039,,
Phoenix,85040,,
Phoenix,85041,,
Phoenix,85042,,
Phoenix,85043,,
Phoenix,85044,,
Phoenix,85045,,
Phoenix,85048,,
Phoenix,85055,,
Phoenix,85060,,
Phoenix,85061,,
Buckeye,85326,,
Phoenix/Cashion,85329,,
El Mirage,85335,,
Gila Bend,85337,,
Goodyear,85338,,
Laveen,85339,,
Litchfield Park,85340,,
Palo Verde,85343,,
Peoria,85345,,
Tolleson,85353,,
Tonopah,85354,,
Waddell,85355,,
Surprise,85379,,
Peoria,85380,,
Peoria,85381,,
Peoria,85382,,
Peoria,85383,,
Peoria,85385,,
Avondale,85392,,
Buckeye,85395,,
Goodyear,85396,,
Mesa,85201,,
Mesa,85202,,
Mesa,85203,,
Mesa,85204,,
Mesa,85205,,
Mesa,85206,,
Mesa,85207,,
Mesa,85208,,
Mesa,85209,,
Mesa,85210,,
Mesa,85211,,
Mesa,85212,,
Mesa,85213,,
Mesa,85214,,
Mesa,85215,,
Mesa,85216,,
Chandler,85224,,
Chandler,85225,,
Chandler,85226,,
Gilbert,85233,,
Gilbert,85234,,
Higley,85236,,
Chandler,85244,,
Chandler,85246,,
Sun Lakes/Chandler,85248,,
Chandler,85249,,
Mesa,85274,,
Mesa,85275,,
Mesa,85277,,
Tempe/Guadalupe,85283,,
Tempe,85284,,
Tempe,85285,,
Chandler,85286,,
Tempe,85287,,
Tempe,85289,,
Gilbert,85295,,
Gilbert,85296,,
Gilbert,85297,,
Gilbert,85298,,
Gilbert,85299,,
Apache Junction,85117,,
Apache Junction,85118,,
Apache Junction,85219,,
Apache Junction,85119,,
Apache Junction,85220,,
Apache Junction,85120,,
Casa Grande,85122,,
Pinal County,85123,,
Queen Creek,85227,,
Queen Creek,85127,,
Coolidge,85128,,
Pinal County,85130,,
Eloy,85131,,
Florence,85132,,
Kearny,85137,,
Maricopa,85238,,
Maricopa,85138,,
Maricopa,85139,,
Queen Creek,85240,,
Queen Creek,85140,,
Queen Creek,85242,,
Queen Creek,85142,,
Queen Creek,85243,,
Queen Creek,85143,,
Pinal County,85145,,
Stanfield,85172,,
Superior,85173,,
Pinal County,85178,,
Pinal County,85190,,
Hayden/Winkelman,85192,,
Pinal County,85193,,
Casa Grande,85194,,
Phoenix,85020,,
Phoenix,85021,,
Phoenix,85022,,
Phoenix,85023,,
Phoenix,85024,,
New River,85027,,
Phoenix,85028,,
Phoenix,85029,,
Phoenix,85032,,
Phoenix,85050,,
Phoenix,85051,,
Phoenix,85053,,
Phoenix,85054,,
Phoenix,85083,,
Phoenix,85085,,
Anthem,85086,,
New River,85087,,
Scottsdale,85250,,
Scottsdale,85253,,
Scottsdale/Phoenix,85254,,
Scottsdale,85255,,
Scottsdale,85256,,
Scottsdale,85259,,
Scottsdale,85260,,
Scottsdale,85261,,
Scottsdale,85262,,
Rio Verde,85263,,
Ft. McDowell,85264,,
Scottsdale,85266,,
Fountain Hills,85268,,
Scottsdale,85269,,
Glendale,85302,,
Glendale,85304,,
Glendale,85306,,
Glendale,85308,,
Glendale,85310,,
Glendale,85312,,
Glendale,85313,,
Glendale,85318,,
Phoenix,85062,,
Phoenix,85063,,
Phoenix,85064,,
Phoenix,85065,,
Phoenix,85066,,
Phoenix,85067,,
Phoenix,85068,,
Phoenix,85069,,
Phoenix,85070,,
Phoenix,85071,,
Phoenix,85072,,
Phoenix,85073,,
Phoenix,85074,,
Phoenix,85075,,
Phoenix,85076,,
Phoenix,85078,,
Phoenix,85079,,
Phoenix,85080,,
Phoenix,85082,,
Phoenix,85096,,
Phoenix,85097,,
Phoenix,85098,,
Phoenix,85099,,
Scottsdale,85251,,
Scottsdale,85252,,
Scottsdale,85257,,
Scottsdale,85258,,
Scottsdale,85267,,
Scottsdale,85271,,
Tempe,85280,,
Tempe,85281,,
Tempe,85282,,
Glendale,85301,,
Glendale,85303,,
Glendale,85305,,
Glendale,85307,,
Glendale,85309,,
Glendale,85311,,
Arlington,85322,,
Avondale,85323,,
Aguila,85320,,
Cave Creek,85327,,
Cave Creek,85331,,
Morristown,85342,,
Sun City/West/Grand,85351,,
Wickenburg,85358,,
Wittman,85361,,
Youngtown,85363,,
Sun City,85372,,
Sun City/West/Grand,85373,,
Surprise,85374,,
Sun City/West/Grand,85375,,
Sun City/West/Grand,85376,,
Carefree,85377,,
Surprise,85378,,
Surprise,85387,,
Surprise,85388,,
Wickenburg,85390,,
