POSTCODE,TotalPopulation
85003,8499
85004,7164
85006,27206
85007,14428
85008,62340
85009,51711
85012,7492
85013,21028
85014,27623
85015,41895
85016,35930
85017,42656
85018,38473
85019,27813
85020,35361
85021,43378
85022,51920
85023,34268
85024,24834
85027,37873
85028,19334
85029,47080
85031,33886
85032,73203
85033,64832
85034,5045
85035,59660
85037,54817
85040,35204
85041,62152
85042,47957
85043,38704
85044,41746
85045,7008
85048,35765
85050,32039
85051,45313
85053,30608
85054,7785
85083,19923
85085,23700
85086,42179
85087,7991
85118,13091
85119,24255
85120,31842
85121,1499
85122,58724
85123,11265
85128,17053
85131,20055
85132,39903
85135,490
85137,2535
85138,38446
85139,17939
85140,47244
85141,430
85142,71423
85143,39153
85145,4203
85147,3644
85172,1991
85173,3098
85192,2616
85193,6142
85194,7948
85201,54110
85202,40364
85203,39797
85204,67924
85205,43135
85206,37230
85207,49863
85208,37109
85209,41407
85210,41073
85212,37204
85213,36916
85215,16471
85224,43834
85225,70356
85226,39157
85233,35640
85234,49056
85248,35040
85249,39618
85250,17688
85251,41102
85253,18811
85254,47185
85255,43956
85256,6173
85257,33392
85258,25755
85259,23364
85260,39861
85262,11872
85263,2907
85264,1345
85266,13253
85268,25022
85281,66833
85282,55664
85283,51495
85284,19909
85286,44885
85295,47791
85296,44564
85297,33868
85298,31593
85301,68579
85302,40186
85303,35142
85304,28113
85305,13370
85306,25520
85307,11108
85308,66706
85309,678
85310,20267
85320,1207
85321,4009
85322,670
85323,43968
85324,2825
85325,1288
85326,63317
85328,367
85331,30727
85332,1747
85333,565
85334,1160
85335,35333
85336,510
85337,2626
85338,50122
85339,47958
85340,35316
85341,0
85342,1637
85343,205
85344,10495
85345,57351
85346,4248
85347,608
85348,2537
85349,31488
85350,22593
85351,28528
85352,500
85353,42801
85354,7719
85355,12998
85356,5191
85357,408
85360,128
85361,6368
85362,739
85363,6802
85364,74333
85365,50865
85367,22897
85371,290
85373,19360
85374,48430
85375,29452
85377,3333
85379,47663
85381,24997
85382,38890
85383,55327
85387,10512
85388,30817
85390,9314
85392,39054
85395,30491
85396,20905
85501,12805
85530,1771
85531,323
85533,3361
85534,2753
85535,0
85536,440
85539,4424
85540,3380
85541,21661
85542,3700
85543,3552
85544,2763
85545,540
85546,20610
85550,5239
85551,447
85552,6671
85553,1791
85554,581
85601,723
85602,9051
85603,6887
85605,540
85606,1067
85607,15419
85608,4671
85609,340
85610,1071
85611,1032
85613,5309
85614,23777
85615,9391
85616,5341
85617,1128
85618,1787
85619,41
85620,751
85621,22074
85622,6142
85623,5190
85624,1289
85625,2141
85626,1077
85627,1350
85629,25770
85630,1757
85631,3718
85632,788
85633,41
85634,6569
85635,33947
85637,1250
85638,1783
85640,174
85641,27078
85643,8913
85645,2480
85646,1404
85648,19681
85650,15515
85653,19244
85654,0
85658,11482
85701,5234
85704,33065
85705,56314
85706,55755
85707,678
85708,3836
85710,54489
85711,40403
85712,32708
85713,47272
85714,15084
85715,17550
85716,30192
85718,26346
85719,48854
85723,0
85724,0
85726,0
85730,38343
85735,10978
85736,4445
85737,21743
85739,19303
85741,34813
85742,28442
85743,31148
85745,38777
85746,45521
85747,26714
85748,19234
85749,18768
85750,24502
85755,17087
85756,42749
85757,20350
85901,18096
85911,2209
85912,350
85920,448
85922,28
85923,620
85924,2660
85925,4988
85926,421
85927,115
85928,1295
85929,7416
85930,1319
85931,186
85932,367
85933,2697
85934,246
85935,4665
85936,4373
85937,8201
85938,2322
85939,4319
85940,1430
85941,11251
85942,56
86001,45695
86003,26
86004,36260
86011,9772
86015,312
86016,42
86017,880
86018,903
86020,1955
86021,6160
86022,1855
86023,2538
86024,737
86025,5565
86028,0
86029,77
86030,1519
86031,1751
86032,1818
86033,8195
86034,1902
86035,2125
86036,400
86038,57
86039,1179
86040,10662
86042,2142
86043,2840
86044,3165
86045,11670
86046,5695
86047,15330
86052,313
86053,2547
86054,1473
86301,23087
86303,17719
86305,18876
86313,249
86314,39703
86315,7626
86320,2024
86321,2128
86322,12107
86323,16454
86324,4271
86325,5554
86326,25294
86327,9762
86329,1037
86331,474
86332,1808
86333,7651
86334,4913
86335,4624
86336,11595
86337,1609
86338,377
86343,51
86351,6552
86401,25799
86403,18104
86404,17280
86406,22802
86409,28675
86411,151
86413,13173
86426,14928
86429,7616
86431,476
86432,3444
86433,43
86434,1609
86435,0
86436,945
86437,119
86438,752
86440,7028
86441,2354
86442,33895
86443,0
86444,1254
86445,254
86502,1095
86503,10818
86504,7201
86505,8036
86506,1266
86507,2323
86508,668
86510,4617
86511,3680
86512,2787
86514,3258
86515,4251
86520,1540
86535,1391
86538,1825
86540,1120
86544,1307
86545,1469
86547,1175
86556,2324
