Manufacturer,Location,Address,City,Registration Link,Phone
Pfizer_BioNTech,The Little Clinic-Fry's,"9039 W Olive Ave, Peoria, AZ 85345",Peoria,Check appointments,1-866-211-5320
Pfizer; J_J,Mountain Park Health Center - Baseline Clinic,"635 E Baseline Rd, Phoenix, AZ 85042",Phoenix,Check appointments,602-243-7277
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #00193,"4990 S Arizona Ave, Chandler, AZ 85248",Chandler,Check appointments,1-888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #03500,"1625 N 44th St, Phoenix, AZ 85008",Phoenix,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #03749,"2840 N Dysart Rd, Goodyear, AZ 85395",Goodyear,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #05477,"1026 E Dr Martin Luther King Jr Blvd, Phoenix, AZ 85040",Phoenix,Check appointments,1-888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #05477,"15474 W Greenway Rd, Surprise, AZ 85374",Surprise,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #05849,"990 E Pecos Rd, Chandler, AZ 85225",Chandler,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #05892,"5050 W Baseline Rd, Laveen, AZ 85339",Laveen,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #09213,"305 E Brown Rd, Mesa, AZ 85201",Mesa,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #09225,"2406 E Thomas Rd, Phoenix, AZ 85016",Phoenix,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",CVS/Pharmacy #09314,"3440 W Glendale Ave, Phoenix, AZ 85051",Phoenix,Check appointments,888-300-4419
"Moderna,​​​​Pfizer_BioNTech",Peoria Community Center,"8335 W Jefferson St, Peoria, AZ 85345",Peoria,Check appointments,
"Moderna,​​​​Pfizer_BioNTech",Safeway #1511,"14175 W Indian School Rd, Goodyear, AZ 85395",Goodyear,Check appointments,
Moderna,1st Care Medical Clinic,"1635 W Glendale Ave, Phoenix, AZ 85021",Phoenix,,602-544-2273
Moderna,A New Leaf - La Mesita Family Care,"2254 W Main St, Mesa, AZ 85201",Mesa,Check appointments,480-733-3033
Moderna,Adelante Healthcare Peoria,"15525 N 83rd Ave, Peoria, AZ 85382",Peoria,Check appointments,
Moderna,Albertsons #1971,"8950 W Bell Rd, Peoria, AZ 85382",Peoria,Check appointments,
Moderna,Albertsons # 0991,"8240 W Deer Valley Rd, Peoria, AZ 85382",Peoria,Check appointments,
Moderna,Albertsons #0958,"325 S Power Rd, Mesa, AZ 85206",Mesa,Check appointments,
Moderna,Albertsons #3926,"12970 W Indian School Road, Litchfield Park, AZ 85340",Litchfield Park,Check appointments,623-535-7991
Moderna,Albertsons #3941,"5036 W Cactus Rd, Glendale, AZ 85304",Glendale,Check appointments,
Moderna,Albertsons #977,"14551 W Grand Avenue, Surprise, AZ 85375",Surprise,Check appointments,623-546-8038
Moderna,Ali Askari MD,"1331 N 7th St, Phoenix, AZ 85006",Phoenix,,602-744-1945
Moderna,American Family Medicine-Tolleson,"9155 W Van Buren St, Tolleson, AZ 85353",Tolleson,Walk-In,
Moderna,Arcpoint Labs of Scottsdale North,"15455 N Greenway Hayden Loop, Scottsdale, AZ 85260",Scottsdale,Check appointments,602-704-0120
Moderna,Arizona Medical Clinic,"1847 W Heatherbrae Dr, Phoenix, AZ 85015",Phoenix,Check appointments,
